episode,reward,avg reward,tiles,avg tiles,completed,avg completed,epsilon
0,-67.38104969751977,-67.38104969751977,11,11.0,,,1.0
1,-57.910642171011844,-62.64584593426581,9,10.0,,,1.0
2,-20.161559389238988,-48.48441708592353,10,10.0,,,1.0
3,-60.27451659289172,-51.43194196266558,10,10.0,,,1.0
4,-67.66975799389986,-54.67950516891244,11,10.2,,,1.0
5,-16.613387821438643,-48.335152277666815,13,10.666666666666666,,,1.0
6,-63.59508138044939,-50.515142149492895,9,10.428571428571429,,,1.0
7,-33.22892998852571,-48.354365629372,10,10.375,,,1.0
8,-19.52928992955314,-45.15157944050324,11,10.444444444444445,,,1.0
9,-66.82931685920354,-47.31935318237326,9,10.3,,,1.0
10,-62.48956819766804,-48.69846363830916,11,10.363636363636363,,,1.0
11,-30.37331370088774,-47.1713678101907,11,10.416666666666666,,,1.0
12,-70.53757489863467,-48.96876835545562,11,10.461538461538462,,,1.0
13,-45.634915671373236,-48.730636020878315,10,10.428571428571429,,,1.0
14,-32.39251371957178,-47.64142786745788,12,10.533333333333333,,,1.0
15,-40.594847490389554,-47.2010165938911,11,10.5625,,,1.0
16,-39.217425726800556,-46.7313936017093,11,10.588235294117647,,,1.0
17,-60.495412854956825,-47.49606133800083,11,10.61111111111111,,,1.0
18,-46.17416363344485,-47.42648777460315,12,10.68421052631579,,,1.0
19,-42.786423481719844,-47.19448455995898,11,10.7,,,1.0
20,-39.20201883059885,-46.813890953798975,12,10.761904761904763,,,0.9670698333333333
21,-40.25908206370608,-46.515945095158386,11,10.772727272727273,,,0.9654865
22,-70.19817706394466,-47.545607354670835,11,10.782608695652174,,,0.9639031666666666
23,-32.14359199399251,-46.903856714642565,11,10.791666666666666,,,0.9623198333333334
24,-18.527806119846932,-45.76881469085074,12,10.84,,,0.9607365
25,-25.77232828726974,-44.999719059943786,12,10.884615384615385,,,0.9591531666666666
26,-40.376073973056656,-44.82847294561463,12,10.925925925925926,,,0.9575698333333333
27,-44.85762754149091,-44.82951418118164,13,11.0,,,0.9559865
28,-65.62207615457743,-45.54649907681598,10,10.96551724137931,,,0.9544031666666667
29,-73.84474692046338,-46.48977400493756,14,11.066666666666666,,,0.9528198333333333
30,-29.25525115151075,-45.933821654827014,11,11.064516129032258,,,0.9512365
31,-36.58363149930714,-45.641628212467026,11,11.0625,,,0.9496531666666667
32,-48.87051045842325,-45.73947312901115,12,11.090909090909092,,,0.9480698333333333
33,-69.39885126045732,-46.43533719170075,11,11.088235294117647,,,0.9464865
34,-68.73103295705711,-47.07235707071093,11,11.085714285714285,,,0.9449031666666666
35,-73.54485311453912,-47.80770418303949,12,11.11111111111111,,,0.9433198333333334
36,-47.987106590518124,-47.81255289675513,15,11.216216216216216,,,0.9417365
37,-28.659795990302978,-47.30853297816428,11,11.210526315789474,,,0.9401531666666667
38,-61.740515728155316,-47.67858381790764,8,11.128205128205128,,,0.93910975
39,-14.392552391099546,-46.84643303223744,16,11.25,,,0.9375264166666667
40,-65.28562296137919,-47.2961693719726,12,11.268292682926829,,,0.9359430833333333
41,-24.999912272930555,-46.7653061077097,12,11.285714285714286,,,0.93435975
42,-82.10000000000038,-47.58704317497227,7,11.186046511627907,,,0.93335275
43,-45.51502765731247,-47.539951913207275,12,11.204545454545455,,,0.9317694166666667
44,-53.96439997214103,-47.68271742562803,13,11.244444444444444,,,0.9301860833333333
45,-40.550227933121064,-47.527663306225705,14,11.304347826086957,,,0.92860275
46,-94.05340973733553,-48.51757280475996,11,11.297872340425531,,,0.9271555833333334
47,-63.61843684373627,-48.832174138905295,11,11.291666666666666,,,0.92557225
48,-24.635253754488392,-48.338359437182504,13,11.326530612244898,,,0.9239889166666666
49,-35.37352306755144,-48.07906270978989,13,11.36,,,0.9224055833333333
50,-14.501706003438061,-47.420683166528086,18,11.490196078431373,,,0.92082225
51,-38.209991222899006,-47.24355447530445,14,11.538461538461538,,,0.9192389166666667
52,-33.406183278666425,-46.982471999896184,13,11.566037735849056,,,0.9176555833333333
53,-63.66385369784306,-47.291386475784094,10,11.537037037037036,,,0.91607225
54,-42.539778892287934,-47.204993610629614,14,11.581818181818182,,,0.9144889166666667
55,-61.312112103261285,-47.45690644085518,10,11.553571428571429,,,0.9129055833333333
56,-60.85588113538368,-47.69197617233814,12,11.56140350877193,,,0.91132225
57,-43.019428862909805,-47.61141501183076,15,11.620689655172415,,,0.9097389166666666
58,-51.058269770058246,-47.669836278919355,14,11.661016949152541,,,0.9081555833333333
59,-42.27449254526117,-47.57991388335839,10,11.633333333333333,,,0.90657225
60,-36.64488084964266,-47.400651046740094,14,11.672131147540984,,,0.9049889166666667
61,-114.14796527445793,-48.477220631058124,9,11.629032258064516,,,0.9034404166666666
